Stock Year Catch ABC OFL SSB TotBiom
FLATHEAD 2018 2.202 35.2652 43.0096 85.7618 281.553
FLATHEAD 2019 2.668 36.7548 44.8319 89.139 282.986
FLATHEAD 2020 1.965 38.1891 46.5638 92.452 281.994
FLATHEAD 2021 39.3689 39.3689 47.9716 95.3226 280.364
FLATHEAD 2022 32.5767 32.5767 39.7003 79.3321 242.489
FLATHEAD 2023 27.2405 27.2405 33.2118 66.7225 215.12
FLATHEAD 2024 23.2865 23.2865 28.4093 57.2005 196.04
FLATHEAD 2025 20.4922 20.4922 25.018 50.3067 183.179
FLATHEAD 2026 18.5873 18.5873 22.7076 45.4996 174.681
FLATHEAD 2027 17.3263 17.3263 21.1791 42.2552 169.274
FLATHEAD 2028 16.479 16.479 20.1529 40.127 165.89
FLATHEAD 2029 15.8928 15.8928 19.4443 38.782 163.959
FLATHEAD 2030 15.5297 15.5297 19.0059 37.9862 162.911
FLATHEAD 2031 15.331 15.331 18.7663 37.5493 162.412
FLATHEAD 2032 15.2406 15.2406 18.6575 37.3319 162.156
FLATHEAD 2033 15.2067 15.2067 18.617 37.2402 161.978
