
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
91.5511 36.6204 32.0429 180.815 170.507 83.2979 
CV Recruit
0.24587 
Alternative 1 Alternative  Stock: FLATHEAD
Catch FLATHEAD
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2017  0 16.2275 17.6194 2.05 2.05 2.05 2.05 3.10862e-15 
2018  0 16.2275 17.6194 2.202 2.202 2.202 2.202 6.81219e-11 
2019  0 16.2275 17.6194 2.668 2.668 2.668 2.668 2.35215e-10 
2020  0 16.2275 17.6194 1.965 1.965 1.965 1.965 1.4624e-09 
2021  0 16.2275 17.6194 39.1564 39.3536 39.3689 39.6364 0.15043 
2022  0 16.2275 17.6194 32.1154 32.55 32.5767 33.1187 0.316893 
2023  0 16.2275 17.6194 26.4453 27.2179 27.2405 28.1606 0.548131 
2024  0 16.2275 17.6194 22.1056 23.247 23.2865 24.6362 0.795811 
2025  0 16.2275 17.6194 18.9846 20.432 20.4922 22.1661 1.00129 
2026  0 16.2275 17.6194 16.8398 18.5254 18.5873 20.5652 1.13738 
2027  0 16.2275 17.6194 15.4514 17.2537 17.3263 19.4029 1.2207 
2028  0 16.2275 17.6194 14.2298 16.4457 16.479 18.723 1.32774 
2029  0 16.2275 17.6194 13.3482 15.926 15.8928 18.1529 1.44176 
2030  0 16.2275 17.6194 12.8332 15.6199 15.5297 17.7991 1.49164 
2031  0 16.2275 17.6194 12.7236 15.4767 15.331 17.654 1.50207 
2032  0 16.2275 17.6194 12.7326 15.3871 15.2406 17.5208 1.49065 
2033  0 16.2275 17.6194 12.6621 15.3439 15.2067 17.5204 1.47431 

Spawning_Biomass FLATHEAD
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2017 91.5511 36.6204 32.0429 83.2979 83.2979 83.2979 83.2979 1.13687e-12 
2018 91.5511 36.6204 32.0429 85.7506 85.7608 85.7618 85.776 0.008097 
2019 91.5511 36.6204 32.0429 89.0901 89.136 89.139 89.2019 0.0351338 
2020 91.5511 36.6204 32.0429 92.294 92.4405 92.452 92.6503 0.111715 
2021 91.5511 36.6204 32.0429 94.9095 95.2931 95.3226 95.8364 0.290603 
2022 91.5511 36.6204 32.0429 78.4169 79.2757 79.3321 80.4103 0.628877 
2023 91.5511 36.6204 32.0429 65.0461 66.6514 66.7225 68.6247 1.14684 
2024 91.5511 36.6204 32.0429 54.6046 57.0936 57.2005 60.1877 1.7463 
2025 91.5511 36.6204 32.0429 46.9378 50.1802 50.3067 54.0656 2.26383 
2026 91.5511 36.6204 32.0429 41.471 45.3743 45.4996 50.0539 2.61825 
2027 91.5511 36.6204 32.0429 37.8402 42.106 42.2552 47.0638 2.82765 
2028 91.5511 36.6204 32.0429 35.5907 39.9073 40.127 45.293 2.92331 
2029 91.5511 36.6204 32.0429 34.3772 38.542 38.782 43.8164 2.91603 
2030 91.5511 36.6204 32.0429 33.7122 37.697 37.9862 42.8303 2.84928 
2031 91.5511 36.6204 32.0429 33.5261 37.2356 37.5493 42.5551 2.78121 
2032 91.5511 36.6204 32.0429 33.5262 37.0035 37.3319 42.1321 2.71838 
