Stock Year Catch ABC OFL SSB TotBiom
FLATHEAD 2018 2.202 35.2653 43.0097 85.7621 281.629
FLATHEAD 2019 2.668 36.7555 44.8328 89.1405 283.153
FLATHEAD 2020 1.911 38.1918 46.5672 92.4575 282.352
FLATHEAD 2021 0.672999 39.3874 47.9944 95.3636 281.032
FLATHEAD 2022 2.251 40.1754 48.9282 97.614 279.975
FLATHEAD 2023 2.251 40.0461 48.7571 97.8755 276.796
FLATHEAD 2024 39.5778 39.5778 48.1819 97.2617 273.461
FLATHEAD 2025 31.6159 31.6159 38.514 77.9823 235.135
FLATHEAD 2026 26.0477 26.0477 31.757 64.2749 209.204
FLATHEAD 2027 22.2658 22.2658 27.1696 54.8151 191.988
FLATHEAD 2028 19.7554 19.7554 24.1253 48.4388 180.785
FLATHEAD 2029 18.116 18.116 22.1378 44.2192 173.357
FLATHEAD 2030 17.0537 17.0537 20.8505 41.4764 168.578
