Stock Alt Year Catch ABC OFL SSB TotBiom
projection_data.dat 1 2023 0.47 39.5164 48.2055 94.1538 302.55
projection_data.dat 1 2024 0.785999 40.6014 49.5364 96.8532 317.222
projection_data.dat 1 2025 41.7351 41.7351 50.9129 99.5605 335.347
projection_data.dat 1 2026 34.8306 34.8306 42.517 83.0525 317.187
projection_data.dat 1 2027 29.0705 29.0705 35.5748 71.9595 311.726
projection_data.dat 1 2028 25.3672 25.3672 31.1472 66.7178 314.704
projection_data.dat 1 2029 25.2245 25.2245 31.0092 66.5816 322.795
projection_data.dat 1 2030 26.6305 26.6305 32.7292 68.9502 330.387
projection_data.dat 1 2031 28.2312 28.2312 34.673 71.8065 336.128
projection_data.dat 1 2032 29.4275 29.4275 36.1226 74.1486 339.128
projection_data.dat 1 2033 30.1948 30.1948 37.0507 75.7611 340.437
projection_data.dat 1 2034 30.5994 30.5994 37.5385 76.7225 341.13
projection_data.dat 1 2035 30.7804 30.7804 37.755 77.1868 341.354
projection_data.dat 1 2036 30.7764 30.7764 37.7481 77.3059 341.889
projection_data.dat 2 2023 0.47 39.5164 48.2055 94.1538 302.55
projection_data.dat 2 2024 0.785999 40.6014 49.5364 96.8532 317.222
projection_data.dat 2 2025 41.7351 41.7351 50.9129 99.5605 335.347
projection_data.dat 2 2026 34.8306 34.8306 42.517 83.0525 317.187
projection_data.dat 2 2027 29.0705 29.0705 35.5748 71.9595 311.726
projection_data.dat 2 2028 25.3672 25.3672 31.1472 66.7178 314.704
projection_data.dat 2 2029 25.2245 25.2245 31.0092 66.5816 322.795
projection_data.dat 2 2030 26.6305 26.6305 32.7292 68.9502 330.387
projection_data.dat 2 2031 28.2312 28.2312 34.673 71.8065 336.128
projection_data.dat 2 2032 29.4275 29.4275 36.1226 74.1486 339.128
projection_data.dat 2 2033 30.1948 30.1948 37.0507 75.7611 340.437
projection_data.dat 2 2034 30.5994 30.5994 37.5385 76.7225 341.13
projection_data.dat 2 2035 30.7804 30.7804 37.755 77.1868 341.354
projection_data.dat 2 2036 30.7764 30.7764 37.7481 77.3059 341.889
projection_data.dat 3 2023 0.47 39.5164 48.2055 94.1538 302.55
projection_data.dat 3 2024 0.785999 40.6014 49.5364 96.8532 317.222
projection_data.dat 3 2025 1.90148 41.7351 50.9129 99.5605 335.347
projection_data.dat 3 2026 1.94521 42.6705 52.047 101.635 354.76
projection_data.dat 3 2027 1.99363 43.7752 53.4097 104.014 375.494
projection_data.dat 3 2028 2.06334 45.4248 55.4604 107.674 395.738
projection_data.dat 3 2029 2.17235 47.9296 58.5506 113.176 415.226
projection_data.dat 3 2030 2.31822 51.1591 62.4978 120.139 432.444
projection_data.dat 3 2031 2.47604 54.5805 66.6579 127.684 447.702
projection_data.dat 3 2032 2.62216 57.7252 70.4744 135.033 460.272
projection_data.dat 3 2033 2.74812 60.429 73.7539 141.718 470.784
projection_data.dat 3 2034 2.85354 62.6864 76.4904 147.526 479.928
projection_data.dat 3 2035 2.93944 64.5223 78.7148 152.4 487.592
projection_data.dat 3 2036 3.0079 65.9853 80.4871 156.385 494.48
projection_data.dat 4 2023 0.47 39.5164 48.2055 94.1538 302.55
projection_data.dat 4 2024 0.785999 40.6014 49.5364 96.8532 317.222
projection_data.dat 4 2025 9.81037 41.7351 50.9129 99.5605 335.347
projection_data.dat 4 2026 9.66192 41.1018 50.1403 97.9159 347.285
projection_data.dat 4 2027 9.58634 40.835 49.8376 97.0091 361.714
projection_data.dat 4 2028 9.67682 41.3344 50.4917 97.8521 376.644
projection_data.dat 4 2029 10.0121 42.8632 52.3955 100.956 391.552
projection_data.dat 4 2030 10.5519 45.1876 55.2432 105.785 404.635
projection_data.dat 4 2031 11.1537 47.7016 58.3023 111.295 415.99
projection_data.dat 4 2032 11.6991 49.9602 61.0443 116.631 424.819
projection_data.dat 4 2033 12.1507 51.8354 63.3187 121.341 431.783
projection_data.dat 4 2034 12.5098 53.3303 65.1301 125.258 437.629
projection_data.dat 4 2035 12.7844 54.4749 66.5158 128.367 442.285
projection_data.dat 4 2036 12.987 55.3167 67.5344 130.743 446.481
projection_data.dat 5 2023 0.47 39.5164 48.2055 94.1538 302.55
projection_data.dat 5 2024 0.785999 40.6014 49.5364 96.8532 317.222
projection_data.dat 5 2025 0 41.7351 50.9129 99.5605 335.347
projection_data.dat 5 2026 0 43.0484 52.5064 102.531 356.558
projection_data.dat 5 2027 0 44.5024 54.2931 105.747 378.892
projection_data.dat 5 2028 0 46.4616 56.7198 110.165 400.557
projection_data.dat 5 2029 0 49.2426 60.1454 116.347 421.326
projection_data.dat 5 2030 0 52.7345 64.4116 123.939 439.74
projection_data.dat 5 2031 0 56.4176 68.8892 132.095 456.152
projection_data.dat 5 2032 0 59.8215 73.0203 140.056 469.849
projection_data.dat 5 2033 0 62.7775 76.6058 147.35 481.449
projection_data.dat 5 2034 0 65.2746 79.633 153.75 491.627
projection_data.dat 5 2035 0 67.3338 82.1283 159.187 500.256
projection_data.dat 5 2036 0 69.0011 84.1483 163.697 508.028
projection_data.dat 6 2023 48.2054 39.5164 48.2055 94.1538 302.55
projection_data.dat 6 2024 38.2232 31.2955 38.2232 74.6236 272.224
projection_data.dat 6 2025 27.1845 22.1467 27.1845 62.3078 260.825
projection_data.dat 6 2026 22.5874 18.354 22.5874 56.5431 266.155
projection_data.dat 6 2027 21.2178 17.2134 21.2178 54.3798 279.234
projection_data.dat 6 2028 22.3182 18.0945 22.3182 55.2812 294.284
projection_data.dat 6 2029 25.0598 20.3284 25.0598 58.4954 308.273
projection_data.dat 6 2030 28.1426 22.8565 28.1426 62.475 318.118
projection_data.dat 6 2031 30.5185 24.8121 30.5185 65.8322 324.074
projection_data.dat 6 2032 31.9672 26.0073 31.9672 68.074 326.402
projection_data.dat 6 2033 32.6887 26.604 32.6887 69.3372 326.807
projection_data.dat 6 2034 32.9563 26.8269 32.9563 69.9204 326.713
projection_data.dat 6 2035 32.9587 26.831 32.9587 70.0698 326.364
projection_data.dat 6 2036 32.8418 26.7364 32.8418 69.9773 326.567
projection_data.dat 7 2023 39.5164 39.5164 48.2055 94.1538 302.55
projection_data.dat 7 2024 32.9685 32.9685 40.2574 78.6156 280.392
projection_data.dat 7 2025 32.4163 26.4746 32.4163 68.2274 272.923
projection_data.dat 7 2026 24.9614 20.3095 24.9614 59.5234 271.758
